category,dayofweek,binofday,count,max,mean,min,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p975,p99,stdev
IVT,0.0,38.0,12.0,5.0,2.8333333333333335,0.0,3.0,3.0,3.0,3.1500000000000004,3.6999999999999993,4.0,4.0,4.0,4.0,4.449999999999999,4.725,4.890000000000001,1.337115846843043
IVT,0.0,39.0,12.0,3.0,2.0,0.0,2.0,2.0500000000000007,2.5999999999999996,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.044465935734187
IVT,0.0,40.0,12.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.25,2.8000000000000007,3.0,3.0,3.0,3.0,3.0,0.7385489458759964
IVT,0.0,41.0,12.0,3.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.5,2.6000000000000014,3.0,3.0,3.0,3.0,3.0,1.2792042981336627
IVT,0.0,42.0,12.0,3.0,0.75,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3499999999999996,1.9000000000000004,2.4499999999999993,2.7249999999999996,2.8900000000000006,0.9653072991634227
IVT,0.0,43.0,12.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999986,1.4499999999999993,1.7800000000000011,0.5773502691896257
IVT,0.0,44.0,12.0,2.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.15000000000000036,0.6999999999999993,1.0,1.0,1.0,1.0,1.4499999999999993,1.7249999999999996,1.8900000000000006,0.6685579234215214
IVT,0.0,45.0,12.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34999999999999964,0.9000000000000004,1.0,1.0,1.0,0.3892494720807615
IVT,0.0,46.0,12.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499999999999993,0.7249999999999996,0.8900000000000006,0.28867513459481287
IVT,0.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
