PatType,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,6576.000000,0.876064,0.000000,10.000000,1.663749,0.020517,2.768060,1.899117,1.843163,2.451898,0.000000,0.000000,1.000000,5.000000,6.000000
CAT,6576.000000,1.625912,0.000000,13.000000,2.263540,0.027913,5.123611,1.392166,1.519903,1.661372,0.000000,1.000000,3.000000,7.000000,9.000000
IVT,6576.000000,5.045468,0.000000,31.000000,6.957048,0.085791,48.400518,1.378871,1.225742,0.251023,0.000000,1.000000,9.000000,19.000000,24.000000
MYE,6576.000000,0.985097,0.000000,10.000000,1.760424,0.021709,3.099093,1.787056,1.989128,3.528463,0.000000,0.000000,1.000000,5.000000,7.000000
OTH,6576.000000,0.572841,0.000000,9.000000,1.287619,0.015878,1.657963,2.247779,2.810753,8.658614,0.000000,0.000000,0.000000,3.000000,6.000000
