PatType,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,6576.000000,1.296122,0.000000,13.166667,2.315255,0.028551,5.360404,1.786293,1.694090,1.841735,0.000000,0.000000,1.916667,6.466667,8.591667
CAT,6576.000000,1.697313,0.000000,10.650000,2.334648,0.028790,5.450580,1.375496,1.437153,1.097302,0.000000,0.550000,2.750000,6.783333,8.729167
IVT,6576.000000,5.789261,0.000000,34.233333,7.961096,0.098173,63.379055,1.375149,1.229228,0.181904,0.000000,0.916667,10.133333,22.516667,27.129167
MYE,6576.000000,1.407725,0.000000,11.366667,2.285368,0.028182,5.222907,1.623448,1.593619,1.454699,0.000000,0.000000,2.133333,6.483333,8.375000
OTH,6576.000000,0.860434,0.000000,12.183333,1.668233,0.020572,2.783002,1.938827,2.197501,4.608606,0.000000,0.000000,1.000000,4.666667,7.208333
