PatType,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,2160.000000,0.898611,0.000000,10.000000,1.723445,0.037083,2.970262,1.917898,1.901292,2.765473,0.000000,0.000000,1.000000,5.000000,7.000000
CAT,2160.000000,1.642593,0.000000,13.000000,2.243624,0.048275,5.033850,1.365904,1.475767,1.566221,0.000000,1.000000,3.000000,6.000000,9.000000
IVT,2160.000000,5.051389,0.000000,30.000000,6.896149,0.148382,47.556876,1.365199,1.209877,0.219877,0.000000,1.000000,10.000000,19.000000,24.000000
MYE,2160.000000,0.981944,0.000000,10.000000,1.746603,0.037581,3.050623,1.778719,2.015643,3.710317,0.000000,0.000000,1.000000,5.000000,7.000000
OTH,2160.000000,0.589815,0.000000,9.000000,1.296408,0.027894,1.680674,2.197992,2.732530,8.209871,0.000000,0.000000,0.000000,3.000000,6.000000
