PatType,count,mean,min,max,stdev,sem,var,cv,skew,kurt,p25,p50,p75,p95,p99
ART,2160.000000,0.898611,0.000000,11.000000,1.763559,0.037946,3.110142,1.962539,2.088557,3.813444,0.000000,0.000000,1.000000,5.000000,7.000000
CAT,2160.000000,1.642593,0.000000,12.000000,2.268262,0.048805,5.145012,1.380904,1.470122,1.430530,0.000000,1.000000,3.000000,6.000000,9.000000
IVT,2160.000000,5.051389,0.000000,31.000000,7.133456,0.153488,50.886195,1.412177,1.342262,0.596645,0.000000,1.000000,8.000000,20.000000,26.000000
MYE,2160.000000,0.981944,0.000000,10.000000,1.705276,0.036692,2.907965,1.736631,1.966761,3.615153,0.000000,0.000000,1.000000,5.000000,7.000000
OTH,2160.000000,0.589815,0.000000,8.000000,1.280592,0.027554,1.639915,2.171176,2.560789,6.501160,0.000000,0.000000,0.000000,4.000000,6.000000
