PatType,TheDateTime,Arrivals,Exits,Occupancy,DayType,TheWeekDay,TheTime,TheDate,UsedIt,deltaArr,deltaExit,deltaOcc
ART,35067.79167,0,0,0,Weekday,4,0.791666667,35067,-1,0,0,0
ART,35067.83333,0,0,0,Weekday,4,0.833333333,35067,-1,0,0,0
ART,35067.875,0,0,0,Weekday,4,0.875,35067,-1,0,0,0
ART,35067.91667,0,0,0,Weekday,4,0.916666667,35067,-1,0,0,0
ART,35067.95833,0,0,0,Weekday,4,0.958333333,35067,-1,0,0,0
ART,35068,0,0,0,Weekday,5,0,35068,-1,0,0,0
ART,35068.04167,0,0,0,Weekday,5,0.041666667,35068,-1,0,0,0
ART,35068.08333,0,0,0,Weekday,5,0.083333333,35068,-1,0,0,0
ART,35068.125,0,0,0,Weekday,5,0.125,35068,-1,0,0,0
ART,35068.16667,0,0,0,Weekday,5,0.166666667,35068,-1,0,0,0
ART,35068.20833,1,0,0.033333333,Weekday,5,0.208333333,35068,-1,0,0,1.90126E-15
ART,35068.25,2,0,1.516666667,Weekday,5,0.25,35068,-1,0,0,-9.99201E-15
ART,35068.29167,7,1,5.5,Weekday,5,0.291666667,35068,-1,0,1,-1
ART,35068.33333,4,6,6.716666667,Weekday,5,0.333333333,35068,-1,0,-1,-1.06581E-14
ART,35068.375,5,4,6.383333333,Weekday,5,0.375,35068,-1,0,1,-1
ART,35068.41667,3,5,7.05,Weekday,5,0.416666667,35068,-1,0,0,-1
ART,35068.45833,2,5,5.383333333,Weekday,5,0.458333333,35068,-1,0,-1,0
ART,35068.5,4,3,3.716666667,Weekday,5,0.5,35068,-1,0,0,1.02141E-14
ART,35068.54167,1,2,3.25,Weekday,5,0.541666667,35068,-1,0,0,0
ART,35068.58333,1,2,2.9,Weekday,5,0.583333333,35068,-1,0,1,-1
ART,35068.625,2,2,0.583333333,Weekday,5,0.625,35068,-1,0,-1,-9.99201E-15
ART,35068.66667,0,2,1.5,Weekday,5,0.666666667,35068,-1,0,0,0
ART,35068.70833,0,0,0,Weekday,5,0.708333333,35068,-1,0,0,0
ART,35068.75,0,0,0,Weekday,5,0.75,35068,-1,0,0,0
ART,35068.79167,0,0,0,Weekday,5,0.791666667,35068,-1,0,0,0
ART,35068.83333,0,0,0,Weekday,5,0.833333333,35068,-1,0,0,0
ART,35068.875,0,0,0,Weekday,5,0.875,35068,-1,0,0,0
ART,35068.91667,0,0,0,Weekday,5,0.916666667,35068,-1,0,0,0
ART,35068.95833,0,0,0,Weekday,5,0.958333333,35068,-1,0,0,0
ART,35069,0,0,0,Weekday,6,0,35069,-1,0,0,0
